||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
382|342292|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||780,29|472,85|47,8|'Р'|47,51|'Р'|48,55|'Р'|46,82|'Р'|43,54|'Р'|11,61|'Р'|11,39|'Р'|10,78|'Р'|11,22|'Р'|44,47|'Р'|45,16|'Р'|45,65|'Р'|414,5|0,35939|'95-70'|'зависимая'|1|'не разгружен'
383|342293|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||679,7|385,66|38,64|'Р'|38,89|'Р'|39,18|'Р'|38,78|'Р'|38,55|'Р'|7,68|'Р'|7,57|'Р'|7,4|'Р'|7,41|'Р'|34,33|'Р'|34,56|'Р'|34,56|'Р'|327,55|0,12079|'95-70'|'зависимая'|1|'не разгружен'
384|342294|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||898,29|458,48|47,9|'Р'|47,86|'Р'|48,65|'Р'|47,28|'Р'|45,09|'Р'|11,29|'Р'|11,08|'Р'|8,88|'Р'|9,31|'Р'|42,65|'Р'|44,98|'Р'|45,12|'Р'|410,09|0,08843|'95-70'|'зависимая'|0|'не разгружен'
385|342295|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||841,16|538,68|57,42|'Р'|57,01|'Р'|58,38|'Р'|55,91|'Р'|51,53|'Р'|11,13|'Р'|10,87|'Р'|11,17|'Р'|12,08|'Р'|50,14|'Р'|49,97|'Р'|50,87|'Р'|476,48|0,38908|'95-70'|'зависимая'|0|'не разгружен'
386|342296|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1018,17|410,77|42,18|'Р'|42,47|'Р'|42,77|'Р'|42,34|'Р'|42,09|'Р'|9,46|'Р'|9,43|'Р'|7,59|'Р'|7,59|'Р'|38,03|'Р'|37,42|'Р'|37,42|'Р'|358,79|0,1062|'95-70'|'зависимая'|1|'не разгружен'
387|342297|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||477,49|323,88|38,51|'Р'|37,87|'Р'|39,09|'Р'|37,57|'Р'|31,46|'Р'|11,53|'Р'|11,47|'Р'|10,07|'Р'|10,73|'Р'|33,05|'Р'|34,04|'Р'|35,08|'Р'|330,47|0,11614|'95-70'|'зависимая'|0|'не разгружен'
388|342298|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||618,85|353|34,86|'Р'|34,58|'Р'|35,5|'Р'|34,24|'Р'|31,72|'Р'|7,79|'Р'|7,76|'Р'|7,06|'Р'|7,87|'Р'|29,95|'Р'|30,7|'Р'|31,56|'Р'|293,59|0,13233|'95-70'|'зависимая'|0|'не разгружен'
389|342299|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||457,14|291,33|30,29|'Р'|28,5|'Р'|30,67|'Р'|26,31|'Р'|19,67|'Р'|7,25|'Р'|7,12|'Р'|7,09|'Р'|7,74|'Р'|27,46|'Р'|27,38|'Р'|30,63|'Р'|250,11|0,17902|'95-70'|'зависимая'|0|'не разгружен'
390|342300|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||759,42|443,48|38,79|'Р'|38,54|'Р'|39,43|'Р'|37,82|'Р'|34,73|'Р'|11,27|'Р'|11,13|'Р'|9,97|'Р'|10,47|'Р'|38,88|'Р'|40|'Р'|41,54|'Р'|352,57|0,15227|'95-70'|'зависимая'|0|'не разгружен'
391|342301|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||704,51|378,87|35,46|'Р'|35,46|'Р'|36,05|'Р'|35,1|'Р'|32,97|'Р'|10,38|'Р'|10,25|'Р'|10,22|'Р'|10,58|'Р'|33,75|'Р'|33,77|'Р'|34,72|'Р'|318,71|0,4074|'95-70'|'зависимая'|0|'не разгружен'
392|342302|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||390,84|397,09|39,96|'Р'|39,78|'Р'|40,57|'Р'|38,98|'Р'|36,36|'Р'|14,3|'Р'|14,21|'Р'|14,18|'Р'|14,64|'Р'|38,34|'Р'|38,32|'Р'|39,5|'Р'|369,14|0,0971|'95-70'|'зависимая'|0|'не разгружен'
393|342303|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||785,16|932,08|137,71|'Р'|0|'Р'|141,21|'Р'|140,02|'Р'|138,88|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|131,43|'Р'|131,41|'Р'|129,98|'Р'|950,64|0,10547|'95-70'|'зависимая'|1|'разгружен'
394|342304|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'закрытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|2|'местная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'непосредственное'|'нет'||1632,88|1612,95|207,33|'Р'|202,27|'Р'|205,91|'Р'|194,01|'Р'|56,42|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|211,79|'Р'|218,3|'Р'|218,3|'Р'|1514,33|0,18584|'95-70'|'зависимая'|1|'разгружен'
395|342305|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'закрытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'местная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'непосредственное'|'нет'||630,76|542,41|65,36|'Р'|65,36|'Р'|65,36|'Р'|64,17|'Р'|18,98|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|68,67|'Р'|68,67|'Р'|68,67|'Р'|485,24|0,40967|'95-70'|'зависимая'|1|'разгружен'
396|342306|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'закрытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'местная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'непосредственное'|'нет'||978,69|1022,84|132,45|'Р'|129,34|'Р'|131,55|'Р'|124,05|'Р'|36,07|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|135,46|'Р'|135,37|'Р'|137,42|'Р'|961,71|0,27604|'95-70'|'зависимая'|1|'разгружен'
397|342307|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||433,19|283,65|32,58|'Р'|31,89|'Р'|32,65|'Р'|31,62|'Р'|29,88|'Р'|7,41|'Р'|7,35|'Р'|6,88|'Р'|7,16|'Р'|30,9|'Р'|53,81|'Р'|55,8|'Р'|327,93|0,21921|'95-70'|'зависимая'|0|'не разгружен'
398|342308|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||675,21|392,44|38,8|'Р'|38|'Р'|38,91|'Р'|37,76|'Р'|35,4|'Р'|11,61|'Р'|11,54|'Р'|10,84|'Р'|11,32|'Р'|34,81|'Р'|35,51|'Р'|36,57|'Р'|341,07|0,14117|'95-70'|'зависимая'|0|'не разгружен'
399|342309|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||488,04|231,29|22,21|'Р'|21,19|'Р'|22,36|'Р'|20,46|'Р'|16,65|'Р'|5,1|'Р'|4,97|'Р'|6,1|'Р'|6,68|'Р'|22,03|'Р'|20,9|'Р'|21,87|'Р'|190,52|0,09643|'95-70'|'зависимая'|0|'не разгружен'
400|342310|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||286,07|278,87|18,85|'Д'|18,37|'Д'|16,51|'Д'|14,32|'Д'|6,35|'Д'|3,23|'Д'|3,35|'Д'|4|'Д'|4,33|'Д'|9,45|'Д'|14,39|'Д'|30,62|'Д'|143,77|0,19736|'95-70'|'зависимая'|0|'не разгружен'
401|342311|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||624,03|155,79|32,3|'Р'|31,52|'Р'|33|'Р'|29,97|'Р'|26,18|'Р'|7,65|'Р'|7,5|'Р'|7,93|'Р'|7,69|'Р'|31,46|'Р'|31,06|'Р'|33,24|'Р'|279,5|0,07187|'95-70'|'зависимая'|0|'не разгружен'
402|342312|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||60,71|600,18|61,39|'Р'|61,91|'Р'|62,23|'Р'|60,44|'Р'|61,41|'Р'|17,83|'Р'|17,83|'Р'|16,81|'Р'|16,92|'Р'|55,83|'Р'|56,74|'Р'|56,74|'Р'|546,08|0,37884|'95-70'|'зависимая'|1|'не разгружен'
403|342313|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||630,39|225,18|35,04|'Р'|34,61|'Р'|35,64|'Р'|33,25|'Р'|30,9|'Р'|9,33|'Р'|9,23|'Р'|9,6|'Р'|9,52|'Р'|35,22|'Р'|34,79|'Р'|36,26|'Р'|313,39|0,35347|'95-70'|'зависимая'|0|'не разгружен'
404|342314|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||573,5|324,27|26,9|'Р'|27,09|'Р'|27,28|'Р'|26,43|'Р'|26,84|'Р'|6,86|'Р'|6,86|'Р'|6,58|'Р'|6,63|'Р'|28,76|'Р'|29,27|'Р'|29,27|'Р'|248,77|0,16971|'95-70'|'зависимая'|1|'не разгружен'
405|342315|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||723,06|379,14|34,44|'Р'|34,32|'Р'|34,86|'Р'|33,14|'Р'|33,04|'Р'|8,23|'Р'|8,23|'Р'|8,4|'Р'|8,46|'Р'|36,62|'Р'|36,37|'Р'|45,93|'Р'|322,04|0,18735|'95-70'|'зависимая'|1|'разгружен'
406|342316|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|2|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||737,44|1062,78|174,65|'Р'|174,69|'Р'|177,06|'Р'|173,99|'Р'|172,58|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|154,45|'Р'|154,45|'Р'|154,45|'Р'|1336,32|0,36366|'95-70'|'зависимая'|2|'разгружен'
407|342317|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||738,11|963,73|155,19|'Р'|155,19|'Р'|155,19|'Р'|155,19|'Р'|155,19|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|135,05|'Р'|135,05|'Р'|131,79|'Р'|1177,84|0,10572|'95-70'|'зависимая'|1|'разгружен'
